name,id,tier,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,number
Interdictor Beam,interdictorbeam,2,1000,700,0,,,100,15,5,,,ENERGY,,100,0.5,1,,,,,,,2400,,,,,SYSTEM,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
Flare Launcher 1,flarelauncher1,,,400,,10,100,,,,,0,ENERGY,0,0,0,0.1,10,0.1,60,60,0,0,,150,300,3,1,SYSTEM,36
Flare Launcher (Fighter),flarelauncher2,,,200,,10,100,,,,,0,ENERGY,0,0,0,0.1,1,0.1,30,30,0,0,,150,200,5,1,SYSTEM,37
Seeker Flare Launcher,flarelauncher3,,,500,,10,400,,,,,0,ENERGY,0,0,0,0.1,3,0.1,90,90,0,0,,300,200,7,1,SYSTEM,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Thermal Pulse Cannon,tpc,0,100000,1000,,250,,0,0,,20,1,ENERGY,200,,0,0.2,1,,0,10,2,5,,1000,,,,"SYSTEM,SHOW_IN_CODEX",40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
Sensor Dish,sensordish,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,43
Blinker Red,blinker_red,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,44
Blinker Green,blinker_green,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,45
Lights - Buffalo,lights_buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,46
Lights - Hound,lights_hound,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
