id,trigger,conditions,script,text,options,notes
commRelayInstallSniffer,DialogOptionSelected,"$tag:comm_relay
$option == csInstall",,"You consider uploading a comm sniffer program onto this comm relay to keep a close eye on what's happening in the area. It'll take about half a day to make sure it's installed and reporting properly, and if you're caught in the act, $theOwnerFaction is not going to be happy. It might also be detected at some point in the future, and there's a chance it could be traced back to you.","csiProceed:Proceed
csiNevermind:Never mind",
commRelayInstallSnifferProceed,DialogOptionSelected,"$tag:comm_relay
$option == csiProceed","Wait $global.csWait 0.5 $global.csFinished $global.csInterrupted $global.csInProgress ""Installing comm sniffer...""
BroadcastPlayerWaitAction $global.csWait HOSTILE 750 $respondingToCommRelayInterference
MakePlayerImmediatelyAttackable",,,
commRelayInstallSnifferNevermind,DialogOptionSelected,"$tag:comm_relay
$option == csiNevermind","$menuState = main 0
FireAll PopulateOptions",,,
commRelayUninstallSniffer,DialogOptionSelected,"$tag:comm_relay
$option == csUninstall",,"Uninstalling the comm sniffer is as simple as sending a shutdown code. You can do so quickly and easily, and don't have to stay in proximity of the relay to do so.","csuProceed:Proceed
csuNevermind:Never mind",
commRelayUninstallSnifferProceed,DialogOptionSelected,"$tag:comm_relay
$option == csuProceed","UninstallCommSniffer
unset $commSnifferInstalled
$menuState = main 0
FireAll PopulateOptions","You send the signal, and shortly receive confirmation that the sniffer is no longer functioning.",,
commRelayUninstallSnifferNevermind,DialogOptionSelected,"$tag:comm_relay
$option == csuNevermind","$menuState = main 0
FireAll PopulateOptions",,,
commRelayLeave,DialogOptionSelected,"$tag:comm_relay
$option == crLeave",DismissDialog,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
dialogTopLevelMenuOptions,PopulateOptions,$menuState == fleetConvMain,,,"#demand:Demand...
#offer:Offer...
#ask about:Ask about...
cutCommLink:Cut the comm link",
,,,,,,
# comm relay interference dialogue,,,,,,
dialogCutCommLink_default,DialogOptionSelected,$option == cutCommLink,EndConversation,You cut the comm link.,,
dialogCutCommLink_byOther,DialogOptionSelected,$option == continueCutComm,EndConversation,,,
dialogCommLinkIgnore_1,OpenCommLink,$ignorePlayerCommRequests score:1000,EndConversation,"You try to open a comm link, but receive no answer.",,
dialogHegRelayInterference_start,BeginFleetEncounter,"$respondingToCommRelayInterference score:100
$global.csInProgress","AbortWait $global.csWait
MakeOtherFleetHostile true
unset $ignorePlayerCommRequests
$timesSawPlayerInterferingWithRelay++
BroadcastCancelPlayerAction 1500 $respondingToCommRelayInterference","A quick jammer burst interrupts your connection with the comm relay.

You're being hailed by the $faction $otherShipOrFleet.",,
dialogHegRelayInterference_cancelledAndRan,BeginFleetEncounter,$respondingToCommRelayInterference score:100,"MakeOtherFleetHostile true
unset $ignorePlayerCommRequests
$timesSawPlayerInterferingWithRelay++
BroadcastCancelPlayerAction 1500 $respondingToCommRelayInterference",You're being hailed by the $faction $otherShipOrFleet.,,
dialogHegRelayInterference_open1,OpenCommLink,"$respondingToCommRelayInterference score:100
$timesSawPlayerInterferingWithRelay <= 1
!$faction.hostileToPlayer","$warnedPlayerAboutRelayInterference = true 1
AdjustRep $faction.id CAUGHT_INSTALLING_SNIFFER","""Interfering with the proper functioning of a comm relay is against the law. Don't let me see you trying that again.""","crWarningUnderstood:""Understood.""
cutCommLink:Cut the comm link",
dialogHegRelayInterference_open2,OpenCommLink,"$warnedPlayerAboutRelayInterference score:10
$playerAcknowledgedRelayInterferenceWarning
$timesSawPlayerInterferingWithRelay <= 1",$ignorePlayerCommRequests = true 1,"""You'd better get out of here before I change my mind.""",cutCommLink:Cut the comm link,
dialogHegRelayInterference_openHostile,OpenCommLink,"$respondingToCommRelayInterference score:100
$faction.hostileToPlayer",$ignorePlayerCommRequests = true 1,"""This is the last time you're going to interfere with $faction assets."" The comm link is cut before you can begin to respond.",continueCutComm:Continue,
dialogHegRelayInterference_openWarnedBefore,OpenCommLink,"$respondingToCommRelayInterference score:100
$timesSawPlayerInterferingWithRelay > 1",$ignorePlayerCommRequests = true 1,"""I've already told you not to mess with $faction hardware. Maybe this'll reinforce the message."" The comm link is cut before you can begin to respond.",continueCutComm:Continue,
dialogHegRelayInterference_understood,DialogOptionSelected,"$respondingToCommRelayInterference score:100
$option == crWarningUnderstood","$playerAcknowledgedRelayInterferenceWarning = true 1
MakeOtherFleetHostile false
unset $respondingToCommRelayInterference
$menuState = fleetConvMain 0
FireAll PopulateOptions","$PersonRank $personName seems slightly mollified by your acquiescence. You're not sure whether this has anything to do with $hisOrHer decision not to engage your $shipOrFleet, but get the feeling that it was a close call either way.",,
dialogHegRelayInterference_cut_1,DialogOptionSelected,"$respondingToCommRelayInterference score:100
!$playerAcknowledgedRelayInterferenceWarning
$option == cutCommLink","$ignorePlayerCommRequests = true 1
unset $respondingToCommRelayInterference
EndConversation","You cut the comm link without acknowledging $PersonRank $personName's words. As $hisOrHer $otherShipOrFleet maintains an aggressive posture, that may not have been the best means of obtaining a peaceful resolution.",,
,,,,,,
# market interactions,,,,,,
# default market interactions,,,,,,
marketOpen,OpenInteractionDialog,$hasMarket,"ShowDefaultVisual
PrintDescription 3
FireBest MarketPostOpen",Your $shipOrFleet approaches $entityName.,,
marketPostOpenDefault,MarketPostOpen,$hasMarket,"$menuState = main 0
$tradeMode = OPEN 0
FireAll PopulateOptions",,,
marketPostOpenPiratesHostile,MarketPostOpen,"$hasMarket
$faction.id == pirates
RepIsAtBest $faction.id INHOSPITABLE
RepIsAtWorst $faction.id HOSTILE","$menuState = main 0
$tradeMode = OPEN 0
FireAll PopulateOptions","While the pirates are generally $relAdjective towards you, that's not all that different from how they see other rival captains. The port authority, such as it is, grants you docking clearance after only a slight delay.",,
marketAddOptionTradeCargo,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
!$faction.isNeutralFaction","SetShortcut marketTradeCargo ""I"" true",,"0:marketTradeCargo:Trade, or hire personnel",
marketAddOptionTradeShips,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
!$faction.isNeutralFaction","SetShortcut marketTradeShips ""F"" true",,1:marketTradeShips:Buy or sell ships,
markettest,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
!$faction.isNeutralFaction","SetShortcut marketTradeShips ""F"" true",,3:marketTradeShips:test test,
marketAddOptionTradeRefit,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
!$faction.isNeutralFaction","SetShortcut marketRefit ""R"" true",,2:marketRefit:Make use of the dockyard's refitting facilities,
marketAddOptionTradeCargo2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction","SetShortcut marketTradeCargo ""I"" true",,0:marketTradeCargo:Transfer cargo or personnel,
marketAddOptionTradeShips2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction","SetShortcut marketTradeShips ""F"" true",,1:marketTradeShips:Transfer ships to or from the dockyard,
marketAddOptionTradeRefit2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode != NONE
$faction.isNeutralFaction","SetShortcut marketRefit ""R"" true",,2:marketRefit:Make use of the dockyard's refitting facilities,
marketAddOptionRepair1,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
RepairNeeded
RepairEnoughSupplies","SetTooltip marketRepair ""Full repairs require $global.repairSupplyCost supplies. $player.supplies supplies are available.""
SetTooltipHighlightColors marketRepair buttonShortcut buttonShortcut
SetTooltipHighlights marketRepair $global.repairSupplyCost $player.supplies
SetShortcut marketRepair ""A"" true",,4:marketRepair:Repair your ships at the dockyard,
marketAddOptionRepair2,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
!RepairNeeded","SetTooltip marketRepair ""Your $shipOrFleet does not require any repairs.""
SetShortcut marketRepair ""A"" true
SetEnabled marketRepair false",,4:marketRepair:Repair your ships at the dockyard,
marketAddOptionRepair3,PopulateOptions,"$hasMarket
$menuState == main
$tradeMode == OPEN
RepairAvailable
RepairNeeded
!RepairEnoughSupplies","SetTooltip marketRepair ""Full repairs require $repairSupplyCost supplies. Only $supplies supplies are available.""
SetTooltipHighlightColors marketRepair buttonShortcut buttonShortcut
SetTooltipHighlights marketRepair $global.repairSupplyCost $player.supplies
SetShortcut marketRepair ""A"" true
SetEnabled marketRepair false",,4:marketRepair:Repair your ships at the dockyard,
marketAddOptionLeave,PopulateOptions,"$hasMarket
$menuState == main","SetTooltip marketLeave $marketLeaveTooltip
SetShortcut marketLeave ""ESCAPE""",,10:marketLeave:Leave,
,,,,,,
marketOptionTradeCargo,DialogOptionSelected,$option == marketTradeCargo,OpenCoreTab CARGO $tradeMode,You establish a linkup with the port authority's cargo management system and browse the inventory.,,
marketOptionTradeShips,DialogOptionSelected,$option == marketTradeShips,OpenCoreTab FLEET $tradeMode,You establish a linkup with the dockyard and see what's available.,,
marketOptionRefit,DialogOptionSelected,$option == marketRefit,OpenCoreTab REFIT $tradeMode,You establish a linkup with the dockyard and transmit your $shipOrFleet status.,,
marketOptionRepairAll,DialogOptionSelected,$option == marketRepair,"RepairAll
SetTextHighlights $global.repairSupplyCost
SetEnabled marketRepair false
SetTooltip marketRepair ""Your $shipOrFleet does not require any repairs.""","Your $shipOrFleet undergoes full repairs and is restored to maximum combat readiness, at the cost of $global.repairSupplyCost supplies.",,
marketOptionLeave,DialogOptionSelected,$option == marketLeave,DismissDialog,,,
# sneaking in,,,,,,
marketPostOpenInhospitable,MarketPostOpen,"$hasMarket
RepIsAtBest $faction.id INHOSPITABLE
$faction.id != pirates","FireBest PickSneakType
FireAll PopulateOptions","$TheFactionLong is $relAdjective towards you, and the port authority refuses your request for docking clearance.",,
marketPostOpenInhospitablePirates,MarketPostOpen,"$hasMarket
RepIsAtBest $faction.id VENGEFUL
$faction.id == pirates","FireBest PickSneakType
FireAll PopulateOptions","You're rather well known among the pirates, and not for the right reasons, as far as they're concerned.",,
marketSneakAvailable,PickSneakType,"$player.fleetSizeCount <= 3
$player.maxHullSize <= 2","$menuState = main 0
$tradeMode = SNEAK 0
","However, your $shipOrFleet is small enough and you should be able to make clandestine contact with other parties willing to trade.",,
marketSneakUnavailable1,PickSneakType,,"$marketLeaveTooltip = ""To slip in, fleet must consist of at most a destroyer and a pair of frigates, or up to three frigates."" 0
$menuState = main 0
$tradeMode = NONE 0
FireAll PopulateOptions",Your $shipOrFleet is too large to slip in undetected and far too conspicuous for any underground elements to risk trading with.,,
marketSneakUnavailable2,PickSneakType,ArePatrolsNearby $faction.id 750 score:10,"$marketLeaveTooltip = ""$Faction patrols are nearby and prevent you from being able to trade."" 0
$menuState = main 0
$tradeMode = NONE 0
","With $faction patrols nearby, your $shipOrFleet stands no chance of slipping in undetected, and even a weaker force would be easily able to disrupt any attempt to trade.",,
marketSneakUnavailable3,PickSneakType,RepIsAtBest $faction.id VENGEFUL score:100,"$marketLeaveTooltip = ""Trade with $theFaction is impossible due to your standing."" 0
$menuState = main 0
$tradeMode = NONE 0
","Given your standing with $theFaction, no-one is willing to run the risk of trading with you.",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
# Food Shortage Event finish,,,,,,
marketPostOpenFSEPlayerPrevented,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortagePlayerPrevented","unsetAll $market.foodShortage
FireBest MPOAddContinue","Thanks to your efforts, the likely food shortage on $market was over before it had a chance to start. Unfortunately for you, since there was no actual emergency, your actions largely go unrecognized by the local government.",,
marketPostOpenFSEPlayerFast,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortageEndedByPlayerFast","unsetAll $market.foodShortage
FireBest MPOAddContinue","Thanks to your efforts, the food shortage is now over before it had a chance to cause much chaos. Your standing with $theMarketFaction should improve, and the market's long-term stability is unaffected by the shortage.",,
marketPostOpenFSEPlayer,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortageEndedByPlayer","unsetAll $market.foodShortage
FireBest MPOAddContinue","Thanks to your efforts, the food shortage is now over. Your standing with $theMarketFaction should improve.",,
marketPostOpenFSEMixed,FoodShortageEndedByPlayerSale,"$hasMarket
$market.foodShortagePartiallyEndedByPlayer","unsetAll $market.foodShortage
FireBest MPOAddContinue","Thanks in part to your efforts, the recent food shortage is over. Your standing with $theMarketFaction should improve slightly.",,
marketPostOpenFSEMixedIndirect,MarketPostOpen,"$hasMarket
!$market.mc:event_food_shortage
$market.foodShortagePartiallyEndedByPlayerRemote score:1000","unsetAll $market.foodShortage
FireBest MarketPostOpen","Thanks in part to your efforts, the recent food shortage is over. Your standing with $theMarketFaction should improve slightly.",,
marketPostOpenFSENonPlayer,MarketPostOpen,"$hasMarket
!$market.mc:event_food_shortage
$market.foodShortageEndedByNPC score:1000","unsetAll $market.foodShortage
FireBest MarketPostOpen","Tapping into the comm network for local news, you learn that there was a recent food shortage. Though the shortage is now over, the local situation is still somewhat destabilized.",,
marketPostOpenFSEExpired,MarketPostOpen,"$hasMarket
!$market.mc:event_food_shortage
$market.foodShortageExpired score:1000","unsetAll $market.foodShortage
FireBest MarketPostOpen","Tapping into the comm network for local news, you learn that there was a recent and protracted food shortage. Though the shortage is now over, the local situation is still highly destabilized.",,
marketPostOpenAddContinue,MPOAddContinue,,,,mpoContinue:Continue,
marketPostOpenContinue,DialogOptionSelected,$option == mpoContinue,"#OpenCoreTab CARGO $lastTradeMode
FireBest MarketPostOpen",,,
,,,,,,
# default fleet greeting lines,,,,,,
greetingDefaultFriendly,OpenCommLink,$faction.friendlyToPlayer,"$menuState = fleetConvMain 0
FireAll PopulateOptions","""Acknowledging receipt of IDENT code. Good to see you, $playerName.""",,
greetingDefaultHostileWeaker,OpenCommLink,"$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""Hostile $shipOrFleet, be advised: we've already dispatched a distress call to a nearby patrol, and it should arrive shortly.""",cutCommLink:Cut the comm link,
greetingDefaultHostileWeakerDefiant,OpenCommLink,"$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"The enemy $personRank looks grim but defiant. ""We will fight you to the last,"" $heOrShe says.",cutCommLink:Cut the comm link,
greetingDefaultHostileStronger,OpenCommLink,"$faction.hostileToPlayer
$relativeStrength >= 0",EndConversation,"It apprears the enemy $personRank doesn't seem to feel the need to talk to you, as your comm requests go unanswered.",,
greetingDefaultNeutral,OpenCommLink,$faction.neutralToPlayer,"$menuState = fleetConvMain 0
FireAll PopulateOptions","""You have been scanned and identified. It's probably best for both our peace of mind if you keep your distance.""",,
# Hegemony fleet greeting lines,,,,,,
greetingHegemonyFriendly,OpenCommLink,"$faction.id == hegemony
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Acknowledging receipt of your AIS codes on secure channel. Communique on protocol Phi established. Over.""",,
greetingHegemonyHostileWeaker,OpenCommLink,"$faction.id == hegemony
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""Hostile vessel, be advised, linecast to system patrol craft has already been dispatched, reinforcements are en route. You are advised to power down weapon systems and disengage. Over.""",cutCommLink:Cut the comm link,
greetingHegemonyHostileWeakerDefiant,OpenCommLink,"$faction.id == hegemony
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"The Hegemony $personRank looks grim but defiant. ""We will fight you to the last,"" $heOrShe says.",cutCommLink:Cut the comm link,
greetingHegemonyHostileStronger,OpenCommLink,"$faction.id == hegemony
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""By authority of the High Hegemon Administrator, you are ordered to take hyperspace drives offline, disable weapons and surrender. Over.""",cutCommLink:Cut the comm link,
greetingHegemonyNeutral,OpenCommLink,"$faction.id == hegemony
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You have been scanned and identified. Communique on protocol Nu established. Over.""",,
# Tri-Tachyon fleet greeting lines,,,,,,
greetingTTFriendly,OpenCommLink,"$faction.id == tritachyon
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""This Tri-Tachyon vessel is on a classified mission. Identity and friendly status confirmed.""",,
greetingTTHostileWeaker,OpenCommLink,"$faction.id == tritachyon
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""Attention. Your vessel has been scanned and identified as hostile to the Tri-Tachyon corporation. Further attempts at aggression will be recorded.""",cutCommLink:Cut the comm link,
greetingTTHostileWeakerDefiant,OpenCommLink,"$faction.id == tritachyon
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"The Tri-Tachyon $personRank looks grim but defiant. ""Corporate regulation 313.33, section A, states that combat-capable vessels must defend themselves in a vigorous manner at all times,"" $heOrShe says.",cutCommLink:Cut the comm link,
greetingTTHostileStronger,OpenCommLink,"$faction.id == tritachyon
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""Attention. Your vessel has been scanned and identified as hostile to the Tri-Tachyon corporation. Prepare for annihilation.""",cutCommLink:Cut the comm link,
greetingTTNeutral,OpenCommLink,"$faction.id == tritachyon
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""We of the Tri-tachyon corporation have scanned your vessel and analyzed your tactical capabilities. Maintain your distance.""",,
# Sindrian Diktat fleet greeting lines,,,,,,
greetingDiktatFriendly,OpenCommLink,"$faction.id == sindrian_diktat
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Acknowledging receipt of your AIS codes on secure channel. Communique on protocol Phi established. Over.""",,
greetingDiktatHostileWeaker,OpenCommLink,"$faction.id == sindrian_diktat
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""Hostile vessel, be advised, linecast to system patrol craft has already been dispatched, reinforcements are en route. You are advised to power down weapon systems and disengage. Over.""",cutCommLink:Cut the comm link,
greetingDiktatHostileWeakerDefiant,OpenCommLink,"$faction.id == sindrian_diktat
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"The Diktat $personRank looks grim but defiant. ""We will fight you to the last,"" $heOrShe says.",cutCommLink:Cut the comm link,
greetingDiktatHostileStronger,OpenCommLink,"$faction.id == sindrian_diktat
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""By authority of the Diktat Executor, you are ordered to take hyperspace drives offline, disable weapons and surrender. Over.""",cutCommLink:Cut the comm link,
greetingDiktatNeutral,OpenCommLink,"$faction.id == sindrian_diktat
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You have been scanned and identified. Communique on protocol Nu established. Over.""",,
# luddic church fleet greeting lines,,,,,,
greetingLCFriendly,OpenCommLink,"$faction.id == luddic_church
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Blessings of Ludd be upon you.""",,
greetingLCHostileWeaker,OpenCommLink,"$faction.id == luddic_church
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""We follow the way of Ludd amidst persecution. Yea, the righteous will suffer the lash and our reward will be everlasting grace.""",cutCommLink:Cut the comm link,
greetingLCHostileWeakerDefiant,OpenCommLink,"$faction.id == luddic_church
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""We follow the way of Ludd amidst persecution. Yea, the righteous will suffer the lash and our reward will be everlasting grace.""",cutCommLink:Cut the comm link,
greetingLCHostileStronger,OpenCommLink,"$faction.id == luddic_church
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""Submit, repent, and your sinful technologies will be smashed; Resist, and only God's holy vaccuum will show you mercy.""",cutCommLink:Cut the comm link,
greetingLCNeutral,OpenCommLink,"$faction.id == luddic_church
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Contact; Do not interfere in our righteous mission.""",,
# pirate fleet greeting lines,,,,,,
greetingPirateFriendly,OpenCommLink,"$faction.id == pirates
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""You fool, send nothing further over this linecast channel, unless you wish it to be picked up by all listening stations this side of the Expanse. We will be on our way.""",,
greetingPirateHostileWeaker,OpenCommLink,"$faction.id == pirates
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""Greetings, honorable commander! We are a humble League merchant trading fleet headed for resupply. We would be honored to assist you in any way.""",cutCommLink:Cut the comm link,
greetingPirateHostileWeakerDefiant,OpenCommLink,"$faction.id == pirates
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding","$ignorePlayerCommRequests = true 1
EndConversation",The pirate $personRank glares at you briefly before shutting down the comm link.,cutCommLink:Cut the comm link,
greetingPirateHostileStronger,OpenCommLink,"$faction.id == pirates
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""Attention, prey. You, and all your possessions are now my personal property. Any resisting ship will be disabled, boarded, your officers massacred, and your crew sold as slaves.""",cutCommLink:Cut the comm link,
greetingPirateNeutral,OpenCommLink,"$faction.id == pirates
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Unless I am reading my scopes incorrectly, you have absolutely no reason to be talking to me right now. Get the hint?""",,
,,,,,,
# Trade panel flavor text,,,,,,
flavorTextMarketGeneric,TradePanelFlavorText,"$global.tradePanelMode == MARKET
","AddText ""The port concourse is filled with trader starcraft of every size. Speculators crowd offloading ship captains with deals and peddlers call out to crew, holding wares and projecting personal ad-holos."" textGrayColor",,,
flavorTextMarketTriTachyon,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == tritachyon
$marketSize >= 4","AddText ""The port concourse is filled with trader starcraft of every size. Speculators crowd offloading ship captains with deals and peddlers call out to crew, holding wares and projecting personal ad-holos."" textGrayColor
AddText ""A Tri-Tachyon franchise official welcomes you and offers to update your PDA with the latest Company rates for the local commodity market."" textGrayColor",,,
flavorTextMarketPirates,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == pirates","AddText ""The port concourse is filled with scarred hulls underlit by the flicker of ID-chips being lasered off cargo containers. Pirate crews swagger in packs, sizing each other up, while their captains cut deals in smoky back rooms. Flunkies of the portboss look on with weapons unslung."" textGrayColor",,,
flavorTextMarketDiktat,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat","AddText ""The port concourse is filled with a mix of trader ships and military craft. Offloading ship captains are processed by a dour Diktat logistics officer before being allowed to proceed. Traders in dull suits, Diktat pins displayed on each collar, quietly pass a datapad loaded with cargo manifests amongst themselves."" textGrayColor
AddText ""A holoprojector displays a larger-than-life image of Admiral Andrada, the Lion of Sindria, flanked by Diktat banners waving in simulated wind. His commanding gaze is cast toward a ventilation conduit."" textGrayColor",,,
flavorTextMarketHegemony,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == hegemony","AddText ""Hegemony patrol skiffs slip between looming bulk freighters and the pitted hulls of fighting-traders that fill the port concourse. Offloading ship captains are met crisply by a Hegemony logistics officers, cleared, then released to the crowds of traders, arms merchants, and commodity speculators."" textGrayColor
AddText ""The fiery phoenix of the Hegemony is projected onto a convenient bulkhead, the local Navy recruitment center's comms-ID scrolling around the flickering stars of the Domain - 'See the Sector, Serve With Honor, Restore the Human Domain'."" textGrayColor",,,
flavorTextMarketLuddicChurch,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == luddic_church","AddText ""The port concourse is filled with trader starcraft of every size. Luddic merchants in muted dress await meetings with offloading ship captains. Peddlers offer street food and hand-crafts to spacer crew while monks pray quietly over begging-bowls. Knights in handspun robes of Luddic green, CP-carbines slung, escort away the occasional ranter determined to harange outsiders who openly flaunt gadgets and cyber-mods. The Church is practical; such sins are tolerated in the trader's district."" textGrayColor",,,
flavorTextMarketUmbra,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == pirates
$market.id == umbra","AddText ""Pirate vessels dock alongside equally battered warships sprayed with revolutionary slogans. The offloading bays mix the metallic tang of vaccuum with strained life support and unwashed humanity. Cargo is inspected - and occasionally expropriated - by Section-leaders flanked by guards eyeing down the offloading spacer crew."" textGrayColor",,,
flavorTextMarketCryosanctum,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$cryoSanctum == true","AddText ""The cavernous landing bays dwarf the few starcraft docked; sensors detect EM whispers from echelons of hidden, sleeping autoturrets, suggesting firepower far in excess of that necessary to ensure the good behaviour of the few merchants, mercenaries, and rich eccentrics visiting the cryosanctum. An official meets offloading captains, extending the standard catalogue of cryosleep packages before escorting them to the visitors lounge."" textGrayColor",,,
flavorTextMarketDecivilized,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.mc:decivilized == true
$marketSize <= 3","AddText ""You land at a location arranged via coded transmission. At first all seems quiet, but eventually figures in camo-suits, bearing weapons, emerge from hidden passages. They are suspicious and their manner terse. After some reassurances, a trade manifest is accepted and negotiations allowed to begin."" textGrayColor",,,
,,,,,,
